generation,best_fitness,avg_fitness,best_params,timestamp
29,0.9161730356589798,0.5776754297370764,"{'sma_period': 114.23972997519684, 'momentum_period': 172.59786777791436, 'atr_period': 48.615235654246646, 'atr_multiplier': 3.264541569564615, 'bb_period': 34.58062574668487, 'bb_dev': 1.978615656747612, 'pyramid_pct': 0.021015627989472145, 'profit_target_pct': 0.5, 'position_size': 0.7515911403810197, 'max_pyramids': 4.6862703731207365}",2025-06-28T12:06:30.311776
30,1.1230270651543395,0.6161902908204279,"{'sma_period': 103.95553827702096, 'momentum_period': 158.21890619191274, 'atr_period': 34.304169880728445, 'atr_multiplier': 3.45302566922364, 'bb_period': 38.348151441010096, 'bb_dev': 1.886102742934975, 'pyramid_pct': 0.010634672372870916, 'profit_target_pct': 0.4221539307241808, 'position_size': 0.8361298036920184, 'max_pyramids': 3.6645616902439158}",2025-06-28T12:06:34.800064
31,1.0873632319460103,0.5623565878677904,"{'sma_period': 110.16606347867888, 'momentum_period': 172.29699739545356, 'atr_period': 72.66783810176094, 'atr_multiplier': 3.1586066800894774, 'bb_period': 35.2552145181304, 'bb_dev': 1.9053581367695, 'pyramid_pct': 0.01, 'profit_target_pct': 0.44804958491146735, 'position_size': 0.914020009660108, 'max_pyramids': 4.564137413064273}",2025-06-28T12:06:39.271678
32,1.0723980837777523,0.5072475215577239,"{'sma_period': 83.19260762608016, 'momentum_period': 172.32871869169566, 'atr_period': 85.80221605257621, 'atr_multiplier': 4.0, 'bb_period': 36.11711773444611, 'bb_dev': 1.9978761601921289, 'pyramid_pct': 0.030767864987770475, 'profit_target_pct': 0.44045707281137014, 'position_size': 0.7592846310985544, 'max_pyramids': 4.30300312951039}",2025-06-28T12:06:43.691605
33,1.0876500069162185,0.6161452896392886,"{'sma_period': 110.77960094145102, 'momentum_period': 171.83006707166916, 'atr_period': 25.555959323780485, 'atr_multiplier': 4.0, 'bb_period': 36.269886250781006, 'bb_dev': 1.8246724483298087, 'pyramid_pct': 0.01591461449984184, 'profit_target_pct': 0.4235818387711865, 'position_size': 0.8749856410454215, 'max_pyramids': 3.5023624415181764}",2025-06-28T12:06:48.115361
34,1.0314916712238986,0.521210186385301,"{'sma_period': 97.62712706411574, 'momentum_period': 75.44533388039781, 'atr_period': 37.65145257944174, 'atr_multiplier': 3.6173317063063006, 'bb_period': 32.33240871932364, 'bb_dev': 2.1493447179047567, 'pyramid_pct': 0.01, 'profit_target_pct': 0.4408589044706954, 'position_size': 0.8210685533023129, 'max_pyramids': 4.296204083982035}",2025-06-28T12:06:52.558720
35,1.0268667801503075,0.49152278155178913,"{'sma_period': 111.81997191088482, 'momentum_period': 89.32662100753411, 'atr_period': 22.037421160481173, 'atr_multiplier': 4.0, 'bb_period': 35.15357751652166, 'bb_dev': 2.100825229783582, 'pyramid_pct': 0.014062304143273608, 'profit_target_pct': 0.45079795942168227, 'position_size': 0.7750770838411752, 'max_pyramids': 3.9894390886447444}",2025-06-28T12:06:57.004539
36,1.1591750313414448,0.5305979497586343,"{'sma_period': 86.86349351022538, 'momentum_period': 154.99201543483, 'atr_period': 49.02956391537998, 'atr_multiplier': 3.6102574646797265, 'bb_period': 38.016014738785444, 'bb_dev': 1.8743452001258452, 'pyramid_pct': 0.010970144225094743, 'profit_target_pct': 0.4599628782865384, 'position_size': 0.8065824641418821, 'max_pyramids': 4.764490825177961}",2025-06-28T12:07:01.469337
37,1.1732852000044567,0.5863030784050652,"{'sma_period': 89.6584434841047, 'momentum_period': 132.2745767307469, 'atr_period': 38.71947601514062, 'atr_multiplier': 2.844438818337597, 'bb_period': 34.868782627601135, 'bb_dev': 2.0860705635451553, 'pyramid_pct': 0.01, 'profit_target_pct': 0.4691875440514874, 'position_size': 0.9197886097756945, 'max_pyramids': 4.235249740475888}",2025-06-28T12:07:05.895271
38,1.2026233768585044,0.6126334112123142,"{'sma_period': 89.97455169631105, 'momentum_period': 180, 'atr_period': 20, 'atr_multiplier': 3.637269360910927, 'bb_period': 35.46259366378055, 'bb_dev': 1.9212134055766237, 'pyramid_pct': 0.011914103735503643, 'profit_target_pct': 0.39046477055072126, 'position_size': 0.951859128106124, 'max_pyramids': 4.940232395049175}",2025-06-28T12:07:10.351733
39,0.9769180801664603,0.5435499776849482,"{'sma_period': 95.3075466815481, 'momentum_period': 161.8261994573169, 'atr_period': 23.787915805272124, 'atr_multiplier': 2.681128327734424, 'bb_period': 38.735884740396884, 'bb_dev': 1.8327143860413178, 'pyramid_pct': 0.017647843117295815, 'profit_target_pct': 0.5, 'position_size': 0.7385397217537866, 'max_pyramids': 4.277647821426642}",2025-06-28T12:07:14.801708
40,0.9908670449592747,0.5317067215280443,"{'sma_period': 109.47933471594808, 'momentum_period': 180, 'atr_period': 46.98685249757893, 'atr_multiplier': 3.7704234949644935, 'bb_period': 34.09151998587892, 'bb_dev': 1.9829715210866534, 'pyramid_pct': 0.01589374345871735, 'profit_target_pct': 0.5, 'position_size': 0.9658427747080528, 'max_pyramids': 4.7782752658086105}",2025-06-28T12:07:19.271446
41,1.0645043645533572,0.5170905036334016,"{'sma_period': 98.6371454676522, 'momentum_period': 180, 'atr_period': 133.18283245289686, 'atr_multiplier': 3.6336700338252537, 'bb_period': 36.69280742205464, 'bb_dev': 1.9990635115728523, 'pyramid_pct': 0.0203390349413291, 'profit_target_pct': 0.47855268390716166, 'position_size': 0.9653980224446317, 'max_pyramids': 4.919139593412538}",2025-06-28T12:07:23.706038
42,1.2194226573371032,0.4999635400104844,"{'sma_period': 89.1944711914718, 'momentum_period': 180, 'atr_period': 39.10230877932938, 'atr_multiplier': 3.472096631529508, 'bb_period': 36.36198312425637, 'bb_dev': 2.039214805969485, 'pyramid_pct': 0.01218584629048406, 'profit_target_pct': 0.47919124171744093, 'position_size': 0.9758943095412863, 'max_pyramids': 5}",2025-06-28T12:07:28.134526
43,1.0692942597186625,0.45306506870015467,"{'sma_period': 117.10139662582313, 'momentum_period': 172.5947698740497, 'atr_period': 86.61532111881544, 'atr_multiplier': 3.8607719947655035, 'bb_period': 36.35671288294176, 'bb_dev': 1.8518633388437888, 'pyramid_pct': 0.020588503533870865, 'profit_target_pct': 0.42983793550007837, 'position_size': 0.8671999824737495, 'max_pyramids': 2.9781120799817766}",2025-06-28T12:07:32.549178
44,1.0817308782856623,0.4727741667473324,"{'sma_period': 117.96563865190633, 'momentum_period': 160.1147238124475, 'atr_period': 88.72616844868885, 'atr_multiplier': 3.4183141465161406, 'bb_period': 32.96973412410186, 'bb_dev': 2.089748861383445, 'pyramid_pct': 0.013940772500964154, 'profit_target_pct': 0.4400882807079201, 'position_size': 0.975100719757094, 'max_pyramids': 2.5477821744313776}",2025-06-28T12:07:36.976739
45,1.0128186801883063,0.5044829582480723,"{'sma_period': 100.83894175996909, 'momentum_period': 180, 'atr_period': 38.53114435837787, 'atr_multiplier': 4.0, 'bb_period': 36.09354956516439, 'bb_dev': 1.808795781363928, 'pyramid_pct': 0.01, 'profit_target_pct': 0.5, 'position_size': 0.8863086913551315, 'max_pyramids': 3.496655978282776}",2025-06-28T12:07:41.431517
46,0.968738477190023,0.5737414769841173,"{'sma_period': 84.186162718964, 'momentum_period': 178.6053440173601, 'atr_period': 47.69169318655386, 'atr_multiplier': 3.567984762879583, 'bb_period': 40, 'bb_dev': 1.3021275882525556, 'pyramid_pct': 0.01, 'profit_target_pct': 0.5, 'position_size': 0.9076517085557408, 'max_pyramids': 4.906835133904892}",2025-06-28T12:07:45.855187
47,1.0494883032028093,0.6443255474579341,"{'sma_period': 104.77728325972788, 'momentum_period': 147.9780957180629, 'atr_period': 20.274055019039874, 'atr_multiplier': 3.339176106787878, 'bb_period': 35.50840258156504, 'bb_dev': 1.788022680776504, 'pyramid_pct': 0.015662331902661045, 'profit_target_pct': 0.43544361947844146, 'position_size': 0.8276222999889576, 'max_pyramids': 4.882832831254086}",2025-06-28T12:07:50.295389
48,1.1802503225192846,0.5674367463363545,"{'sma_period': 87.41993700488756, 'momentum_period': 179.99365832982164, 'atr_period': 46.827676392249984, 'atr_multiplier': 2.55066195020083, 'bb_period': 35.30060743639693, 'bb_dev': 2.0793201708860916, 'pyramid_pct': 0.01473180911833501, 'profit_target_pct': 0.4717422392316748, 'position_size': 0.9218663558172191, 'max_pyramids': 2.8430985167679763}",2025-06-28T12:07:54.724804
49,1.1473250679863187,0.5813437923882712,"{'sma_period': 85.76786462355696, 'momentum_period': 153.7234464142919, 'atr_period': 41.87722579937467, 'atr_multiplier': 2.7198201542134632, 'bb_period': 37.6965332872526, 'bb_dev': 2.0067939359623304, 'pyramid_pct': 0.011653126065080548, 'profit_target_pct': 0.4482426130899001, 'position_size': 0.8280709075767145, 'max_pyramids': 4.034452764175184}",2025-06-28T12:07:59.154935
50,0.9705512660042894,0.530080146476071,"{'sma_period': 103.68220447143149, 'momentum_period': 152.84978935013604, 'atr_period': 70.21082127307074, 'atr_multiplier': 3.118579574209953, 'bb_period': 39.01071235184809, 'bb_dev': 1.7916316189223092, 'pyramid_pct': 0.021940473551909517, 'profit_target_pct': 0.4692343445963479, 'position_size': 0.8527569086261608, 'max_pyramids': 2.6057365825432663}",2025-06-28T12:08:03.606630
